arch_id,test_accuracy,test_precision,test_recall,test_f1_score,epoch_time_sec,num_params,num_flops,architecture,train_loss_epoch_1,train_acc_epoch_1,train_loss_epoch_2,train_acc_epoch_2,train_loss_epoch_3,train_acc_epoch_3,train_loss_epoch_4,train_acc_epoch_4,train_loss_epoch_5,train_acc_epoch_5
585,0.5228,0.519933762,0.5228,0.519085078,117.7000818,155696,7445680,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=5,act=ReLU)",1.844859594,34.854,1.518672858,46.82,1.434934538,49.668,1.395933367,51.34,1.365951326,52.418
586,0.5137,0.514922194,0.5137,0.506638285,116.8983488,155696,7445680,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=5,act=GELU)",1.871611524,33.632,1.571932188,44.86,1.482008475,48.182,1.425675064,50.156,1.388672149,51.526
587,0.5122,0.529858425,0.5122,0.509750731,115.4426403,155696,7445680,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=5,act=SiLU)",1.825242262,35.318,1.560702419,45.29,1.462095628,48.88,1.407990967,50.692,1.369984644,52.098
588,0.5083,0.516245234,0.5083,0.503219172,124.9695687,194576,9273040,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=8,act=ReLU)",1.859578632,34.538,1.567465975,44.982,1.465468227,48.586,1.410151545,50.492,1.373274168,51.918
589,0.5386,0.544160198,0.5386,0.537927275,124.8156173,194576,9273040,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=8,act=GELU)",1.781927823,36.772,1.454597046,49.01,1.374487495,52.066,1.331492012,53.33,1.29913927,54.452
590,0.5186,0.535938527,0.5186,0.520716568,124.4070473,194576,9273040,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=8,act=SiLU)",1.848862771,34.992,1.551433946,45.858,1.450393016,49.242,1.394735192,51.344,1.361462527,52.326
591,0.5264,0.536610563,0.5264,0.526764215,130.4917052,220496,10491280,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=10,act=ReLU)",1.754916587,37.154,1.472461948,48.238,1.405031317,50.426,1.359421003,52.138,1.325578167,53.408
592,0.542,0.55230396,0.542,0.541766713,130.3635039,220496,10491280,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=10,act=GELU)",1.745035547,38.24,1.431697831,49.62,1.351439393,52.628,1.299214768,54.678,1.260560287,56.198
593,0.5252,0.530794232,0.5252,0.519442631,130.6605079,220496,10491280,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=10,act=SiLU)",1.771202109,37.178,1.47251735,48.124,1.391983514,51.084,1.341696682,53.08,1.309811869,54.262
594,0.5301,0.534581374,0.5301,0.526797318,143.7313542,285296,13536880,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=5,grid=15,act=ReLU)",1.762336222,38.024,1.463111286,48.764,1.385990116,51.278,1.338817534,53.268,1.302193753,54.436
